"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/26","玡马","PM10",88,84,75,68,72,79,87,88,79,69,59,62,69,74,82,112,141,151,163,156,127,100,79,65
"2018/01/26","玡马","SO2",3,2.7,2.4,2.3,2.6,2.5,1.6,1.5,1.7,1.6,1.7,1.7,1.9,2,1.9,1.9,1.7,2.4,2.2,2.2,2.3,2.4,2.2,2.1
"2018/01/27","玡马","CO",0.47,0.41,0.39,0.43,0.39,0.41,0.48,0.65,0.76,0.88,0.75,0.53,0.43,0.42,0.34,0.31,0.33,0.41,0.45,0.57,0.79,0.92,1.01,0.9
"2018/01/27","玡马","NOx",26,23,23,23,21,21,25,35,39,44,35,54,36,26,15,14,19,15,23,27,37,44,48,42
"2018/01/27","玡马","O3",7.8,9.3,8.8,7.4,9,7.3,5.3,5.6,8,14,31,25,39,48,50,49,45,45,34,29,16,9.4,5.6,5.9
"2018/01/27","玡马","PM10",63,61,56,55,53,51,51,54,59,69,83,88,86,79,68,58,57,57,59,73,86,91,95,102
"2018/01/27","玡马","SO2",2.4,2.7,2.6,3,2.9,2.8,2.4,2.4,2.7,3.1,3.1,20,17,12,4.6,4,6.1,2.9,4.6,4.3,3.1,2.9,2.8,2.8
"2018/01/28","玡马","CO",0.71,0.51,0.49,0.37,0.38,0.5,0.54,0.55,0.5,0.55,0.61,0.65,0.56,0.53,0.48,0.53,0.6,0.73,0.7,0.68,0.62,0.56,0.6,0.49
"2018/01/28","玡马","NOx",33,27,21,13,17,27,24,22,17,20,21,21,15,15,16,19,23,28,29,31,28,28,27,25
"2018/01/28","玡马","O3",8.6,8.1,9.8,16,16,5.1,6.5,8.7,17,21,31,49,60,69,70,53,39,28,18,8.7,7.6,6.1,5.5,5.3
"2018/01/28","玡马","PM10",102,89,83,86,84,88,96,104,103,94,87,80,73,58,58,71,85,86,79,73,60,57,51,48
"2018/01/28","玡马","SO2",2.9,3.1,1.9,1.4,2.4,4.6,3.2,1.6,1.7,2.2,2.5,2.7,2.4,2.9,3.1,2.3,3.2,2.5,2.8,2.9,2.2,1.7,1.6,1.4
"2018/01/29","玡马","CO",0.43,0.32,0.32,0.26,0.27,0.27,0.34,0.47,0.58,0.49,0.47,0.53,0.47,0.35,0.35,0.35,0.35,0.55,1.01,0.85,0.68,0.7,0.77,0.72
"2018/01/29","玡马","NOx",23,19,17,14,14,13,16,23,NA,36,34,37,39,28,28,26,23,32,53,47,39,39,38,34
"2018/01/29","玡马","O3",6,6.3,8.1,11,12,16,14,10,8.6,7.3,8.6,12,14,20,30,26,26,19,2.6,2.5,4.2,2.8,2.6,2.7
"2018/01/29","玡马","PM10",48,40,42,44,38,40,39,37,45,50,52,NA,64,60,62,65,53,45,59,67,63,58,55,55
