"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/24","到て","SO2",3,2,1.7,2.2,2.7,3.6,2.7,3.1,4.7,4.2,3.7,NA,NA,NA,NA,NA,1.7,1.2,1.5,2.1,2.9,3,2.6,2.2
"2018/01/25","到て","CO",0.39,0.41,0.51,0.48,0.49,0.39,0.38,0.46,0.46,0.5,NA,0.47,0.49,NA,0.37,0.33,0.3,0.33,0.32,0.42,0.45,0.4,0.32,0.31
"2018/01/25","到て","NOx",15,17,23,22,22,17,18,24,27,27,NA,18,18,NA,NA,NA,15,18,16,19,20,18,18,17
"2018/01/25","到て","O3",18,15,8.3,10,8,12,10,8,12,17,NA,NA,NA,46,53,52,43,34,30,22,18,17,16,15
"2018/01/25","到て","PM10",61,46,44,38,43,39,35,36,38,39,NA,47,52,56,43,57,83,83,69,60,61,63,56,41
"2018/01/25","到て","SO2",2.2,3.4,4.4,4.4,3.4,2.4,2.5,3.2,3.8,4.7,NA,4.5,5.1,NA,4.1,3.3,2.6,2.8,2.3,4,4.3,2.9,3,2.3
"2018/01/26","到て","CO",0.29,0.25,0.25,0.37,0.32,0.25,0.23,0.23,0.22,0.22,0.23,0.24,0.23,0.26,0.27,0.23,0.24,0.28,0.34,0.35,0.3,0.27,0.27,0.29
"2018/01/26","到て","NOx",18,14,13,16,16,13,12,12,12,14,14,14,13,13,14,13,14,16,18,18,16,15,16,17
"2018/01/26","到て","O3",14,14,14,10,12,16,16,19,22,22,24,29,38,43,41,41,35,27,21,18,18,17,15,13
"2018/01/26","到て","PM10",36,34,38,41,45,41,38,33,36,35,47,48,58,69,89,108,128,124,104,72,51,37,32,30
"2018/01/26","到て","SO2",2.4,2,2.1,2.6,2.9,2.2,2.3,2.1,2,1.8,1.6,2.1,1.9,2.3,2.8,2.6,2.6,2.7,3,2.7,2.2,2.3,2.6,3.2
"2018/01/27","到て","CO",0.28,0.31,0.29,0.29,0.28,0.28,0.28,0.29,0.29,0.31,0.37,0.36,0.31,0.29,0.37,0.33,0.31,0.38,0.41,0.37,0.31,0.31,0.27,0.31
"2018/01/27","到て","NOx",17,15,14,15,15,16,17,19,NA,23,27,23,18,NA,16,15,14,17,20,18,15,14,13,13
"2018/01/27","到て","O3",14,15,15,14,13,11,12,11,11,12,15,25,32,41,37,38,38,35,29,24,21,18,18,16
"2018/01/27","到て","PM10",21,23,21,29,16,16,17,23,22,24,31,41,46,52,57,56,58,64,67,62,55,49,55,50
"2018/01/27","到て","SO2",3.3,3.4,2.9,3.5,3.6,3.4,3.1,3.9,4.6,5.5,5.5,4.5,3.4,3.3,4.6,4.1,3.8,3.9,3.5,3.2,2.6,2.6,2.5,2.4
"2018/01/28","到て","CO",0.26,0.24,0.29,0.31,0.31,0.29,0.29,0.33,0.29,0.33,0.36,0.37,0.34,0.33,0.36,0.32,0.41,0.43,0.34,0.28,0.29,0.3,0.3,0.31
"2018/01/28","到て","NOx",11,11,12,13,16,12,10,12,12,14,14,17,15,12,13,13,20,21,17,17,18,20,20,18
"2018/01/28","到て","O3",17,17,15,10,7.6,14,15,13,14,18,24,20,25,37,37,38,24,15,14,12,9.4,6,5.4,6.9
"2018/01/28","到て","PM10",52,47,51,53,53,60,70,71,62,45,41,40,53,60,64,66,60,63,49,46,35,36,23,14
"2018/01/28","到て","SO2",3.1,2.3,1.8,1.9,2,1.6,1.4,1.6,1.8,2.5,2.9,2.4,2.2,2.4,2.2,2.1,3.7,3.7,2.4,2.1,2,2.4,1.8,1.7
"2018/01/29","到て","CO",0.25,0.24,0.21,0.19,0.17,0.18,0.2,0.22,0.23,0.23,0.26,0.28,0.3,0.32,0.36,0.37,0.37,0.4,0.44,0.48,0.5,0.51,0.51,0.56
"2018/01/29","到て","NOx",13,13,10,11,7.6,9.1,9.6,11,12,13,20,20,21,21,22,23,21,22,22,22,23,20,14,15
"2018/01/29","到て","O3",11,13,17,19,22,20,20,19,20,19,17,18,19,19,20,19,20,16,13,10,9.2,12,18,16
"2018/01/29","到て","PM10",15,16,13,NA,8,9,12,13,14,NA,23,28,28,36,32,28,28,41,45,44,42,45,32,25
"2018/01/29","到て","SO2",1.4,1.6,1.5,1.5,1.3,1.5,1.4,1.4,1.3,1.6,1.9,2.3,2.5,2,2.2,2,1.7,1.9,2,2.5,2.2,2.1,1.6,1.5
"2018/01/30","到て","CO",0.55,0.56,0.53,0.54,0.53,0.48,0.45,0.47,0.51,0.52,0.5,0.45,0.37,0.38,0.36,0.32,0.36,0.5,0.56,0.56,0.5,0.44,0.53,0.49
"2018/01/30","到て","NOx",17,15,14,14,15,15,13,15,21,19,22,NA,16,14,14,11,14,18,24,29,36,29,29,28
"2018/01/30","到て","O3",13,17,17,16,13,17,20,19,13,15,16,NA,NA,26,30,32,29,22,12,9.1,3.6,6,3.4,2.6
"2018/01/30","到て","PM10",16,NA,15,20,21,25,26,26,20,18,16,NA,35,41,35,43,40,41,39,48,51,47,42,40
"2018/01/30","到て","SO2",1.6,1,1.2,1.2,1.1,1.2,0.9,1.2,1.7,1.7,1.3,NA,0.7,0.9,1.4,0.7,1.3,1.6,1.7,2.3,3.6,3.8,4.4,2.9
"2018/01/31","到て","CO",0.42,0.5,0.43,0.41,0.41,0.47,0.51,0.57,0.64,0.6,NA,0.58,0.39,0.44,0.4,0.33,0.39,0.41,0.34,0.41,0.44,0.41,0.42,0.44
"2018/01/31","到て","NOx",25,30,31,26,28,33,37,41,NA,42,NA,NA,23,21,21,16,21,23,16,15,14,11,12,11
"2018/01/31","到て","O3",2.7,1.3,1.6,1.9,0.9,0.8,1,2.1,4.6,8,NA,16,24,29,31,41,30,25,25,21,22,26,25,24
"2018/01/31","到て","PM10",35,35,30,30,22,25,34,47,60,58,NA,59,44,50,46,51,56,55,56,45,54,50,44,19
"2018/01/31","到て","SO2",2.1,3.9,3.6,3.6,3.7,3.7,4.5,4.5,5.6,5.4,NA,5.3,5,5.4,4.1,3.3,3.8,4.3,2.8,2.3,2.1,2.1,2.1,2.3
"2018/02/01","到て","CO",0.43,0.42,0.43,0.41,0.43,0.51,0.52,0.51,0.53,0.54,0.58,0.57,0.59,0.62,0.68,0.71,0.74,0.76,0.81,0.7,0.63,0.66,0.68,0.72
"2018/02/01","到て","NOx",9.7,12,12,12,10,11,13,14,17,16,18,18,18,19,20,22,25,23,28,25,24,27,26,28
"2018/02/01","到て","O3",24,21,19,23,25,21,22,23,21,24,24,29,38,41,41,37,32,28,17,15,12,7.7,6.5,4.6
"2018/02/01","到て","PM10",10,6,16,14,18,14,29,32,29,26,32,36,45,48,NA,NA,73,85,86,95,82,72,60,74
"2018/02/01","到て","SO2",2.1,1.3,1.2,1.3,1.3,1.1,1.2,1.7,1.7,1.6,2.2,2.3,2.3,2.4,2.9,2.2,2.3,2.5,2.7,2.3,2.8,2.5,2.6,2.8
"2018/02/02","到て","CO",0.67,0.62,0.64,0.62,0.52,0.47,0.44,0.55,0.56,0.58,0.6,0.46,0.33,0.28,0.32,0.32,0.33,0.32,0.28,0.3,0.36,0.36,0.35,0.36
"2018/02/02","到て","NOx",31,22,22,22,15,14,16,18,21,22,21,16,11,8.6,12,14,16,14,11,13,16,11,11,12
"2018/02/02","到て","O3",3.8,6.8,5.6,6.5,14,15,14,11,15,20,29,39,44,44,40,38,33,33,33,27,23,28,28,27
"2018/02/02","到て","PM10",81,86,71,57,43,43,49,46,50,47,61,62,69,74,75,41,29,42,36,35,34,34,36,41
