"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/24","キ马","NOx",10,8.1,7.5,8,7.8,8.6,15,21,21,18,15,15,15,15,14,16,18,19,18,15,16,12,11,NA
"2018/01/24","キ马","O3",44,46,46,45,46,44,37,34,37,41,44,44,45,46,44,40,36,34,35,37,36,38,39,NA
"2018/01/24","キ马","PM10",49,49,54,56,57,52,50,45,48,53,59,53,52,49,54,55,50,47,37,36,21,13,20,NA
"2018/01/24","キ马","SO2",4.1,3.4,3,4.1,3.1,2.7,3.3,2.2,2,1.9,1.6,1.8,1.3,1.6,1.8,1.7,1.7,2.1,1.8,2.2,1.9,1.9,2,NA
"2018/01/25","キ马","CO",NA,0.3,0.29,0.28,0.28,0.29,0.36,0.53,0.54,0.5,NA,0.43,0.42,0.39,0.42,0.42,0.48,0.58,0.64,0.61,0.57,0.52,0.4,0.32
"2018/01/25","キ马","NOx",NA,6.5,6.1,6,6.2,7.1,11,18,20,21,NA,20,18,17,19,20,23,27,27,25,24,22,17,13
"2018/01/25","キ马","O3",41,42,43,43,43,42,38,33,34,35,NA,35,38,38,36,33,28,24,24,25,25,26,29,32
"2018/01/25","キ马","PM10",29,27,15,21,14,18,16,20,20,31,NA,29,32,20,26,27,36,35,44,44,40,27,22,17
"2018/01/25","キ马","SO2",NA,2.2,2,1.8,1.9,2,1.8,2,2.3,2.1,NA,1.9,2.1,1.9,1.9,2.1,2.4,2.1,2.3,2.5,2.4,2.4,2,1.7
"2018/01/26","キ马","CO",0.29,0.27,0.25,0.27,0.26,0.25,0.28,0.37,0.38,0.33,0.29,0.3,NA,0.33,0.32,0.36,0.4,0.52,0.51,0.44,0.37,0.34,0.3,0.26
"2018/01/26","キ马","NOx",10,10,13,14,13,12,14,19,21,23,21,23,NA,15,22,24,18,24,24,20,16,14,12,11
"2018/01/26","キ马","O3",34,35,30,30,31,33,32,27,25,24,26,26,NA,37,28,26,30,25,24,27,31,31,34,34
"2018/01/26","キ马","PM10",20,18,28,27,33,25,33,27,34,24,25,23,30,24,25,25,29,27,22,22,21,18,16,14
"2018/01/26","キ马","SO2",1.7,2.1,1.7,2.6,2.4,1.6,1.4,1.5,1.6,2.4,2.2,2.2,NA,1.8,2.7,2.1,1.8,2.5,3.4,2.8,2.1,2,2.1,2.2
"2018/01/27","キ马","CO",0.23,0.22,0.2,0.21,0.21,0.23,0.28,0.34,0.37,0.39,0.35,0.37,0.33,0.4,0.4,0.46,0.56,0.62,0.61,0.59,0.63,0.74,0.75,0.57
"2018/01/27","キ马","NOx",8.5,7.7,6.2,5.6,5.8,6.8,9.5,12,16,17,16,16,14,17,19,22,29,30,27,28,30,38,49,37
