"дщ┤┴","┤·п╕","┤·╢╡","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/18","оч╢щ","CO",0.27,0.24,0.22,0.22,0.22,0.24,0.3,0.53,0.57,0.46,0.39,0.37,0.39,0.37,0.39,0.43,0.46,0.58,0.63,0.49,0.49,0.46,0.34,0.32
"2018/01/18","оч╢щ","NOx",8.9,8.2,7.3,6.5,6.4,9.7,15,28,27,25,21,18,18,18,20,23,24,27,28,23,20,16,9.6,10
"2018/01/18","оч╢щ","O3",37,38,39,39,39,35,30,24,24,29,33,37,36,36,34,30,27,25,23,25,28,33,40,38
"2018/01/18","оч╢щ","PM10",22,27,21,29,25,23,24,21,26,31,33,32,26,26,23,21,22,20,19,11,12,18,21,23
"2018/01/18","оч╢щ","SO2",5.7,7.5,7.1,6.4,5.6,6.4,6.2,5.6,5.8,6,4.9,4.2,4.8,4.3,5.3,5.3,5.9,5.3,8.3,12,9.4,7.2,5.6,7.5
"2018/01/19","оч╢щ","CO",0.32,0.3,0.25,0.24,0.24,0.25,0.29,0.55,0.61,0.69,0.55,0.44,0.49,NA,NA,0.41,0.51,0.63,0.57,0.55,0.5,0.57,0.52,0.44
"2018/01/19","оч╢щ","NOx",10,9.4,8.4,4.9,4.7,4.6,10,27,32,41,35,27,29,NA,NA,29,27,31,22,20,16,20,17,12
"2018/01/19","оч╢щ","O3",37,32,38,46,47,46,41,24,18,17,21,25,23,NA,NA,19,20,19,27,28,31,27,29,32
"2018/01/19","оч╢щ","PM10",12,12,16,20,17,21,21,23,11,14,19,18,16,NA,28,23,26,26,29,28,40,49,55,47
"2018/01/19","оч╢щ","SO2",7.3,5.2,3.4,2.9,2.5,2.7,2.6,3.2,3.9,4.3,5.6,5.6,4.7,NA,NA,5,4,7.6,5.6,6,5.6,5.6,4.2,4.3
"2018/01/20","оч╢щ","CO",0.42,0.38,0.37,0.38,0.39,0.42,0.46,0.49,0.51,0.51,0.5,0.51,0.52,0.5,0.54,0.52,0.63,0.71,0.63,0.52,0.51,0.53,0.49,0.43
