"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/22","打","CO",0.3,0.33,0.34,0.34,0.34,0.36,0.39,0.5,0.43,0.39,0.39,0.38,0.48,0.57,0.58,0.54,0.53,0.53,0.51,0.47,0.46,0.42,0.39,0.35
"2018/01/22","打","NOx",5.3,7.5,6.3,8,5.8,5.8,9.1,15,12,12,15,11,13,13,9.2,9.4,10,13,10,9,12,12,10,9.4
"2018/01/22","打","O3",48,38,35,30,35,33,27,25,33,37,35,45,43,52,65,59,54,53,55,52,46,45,45,45
"2018/01/22","打","PM10",32,46,63,75,77,75,85,90,83,63,55,53,48,44,35,35,40,39,37,34,35,32,32,37
"2018/01/22","打","SO2",2.2,2.6,2.9,3,2.6,2.6,2.6,3.2,2.8,2.7,3.1,2.5,2.9,3.7,3.5,2.8,2.5,2.5,1.9,2.1,2.4,2.8,3.1,1.7
"2018/01/23","打","CO",0.3,0.27,0.26,0.25,0.24,0.24,0.29,0.4,0.42,0.4,0.32,0.22,0.21,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/23","打","NOx",8,6.9,6.3,5.7,5.9,6.8,10,17,20,17,15,7.4,5.4,5.2,NA,NA,8.3,7.7,8.4,11,10,7.2,6.4,7.7
"2018/01/23","打","O3",46,47,48,47,46,45,41,36,37,43,46,53,55,54,46,NA,NA,49,48,46,48,50,48,44
"2018/01/23","打","PM10",35,33,37,35,30,31,35,39,45,48,48,48,42,34,30,NA,44,45,45,41,43,46,40,39
"2018/01/23","打","SO2",2.9,2.2,1.8,2.6,3.2,2.7,2.5,2,2.3,2.1,3.1,3,2.9,2.4,NA,NA,2.9,2.6,2.7,3.3,2.6,1.5,1.3,1.6
"2018/01/24","打","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.39,0.39,0.38,0.38,0.38,0.38,0.36,0.34,0.32
"2018/01/24","打","NOx",9,6.4,6.5,5.3,5.2,6.1,8.5,13,14,15,13,12,10,9.5,10,14,14,12,11,11,10,9.4,8.2,6.9
"2018/01/24","打","O3",45,48,47,49,48,47,43,39,41,44,49,50,52,52,49,44,41,41,40,39,40,41,41,42
"2018/01/24","打","PM10",41,39,39,41,40,43,49,52,56,59,60,64,65,54,45,46,49,39,34,33,27,23,21,22
"2018/01/24","打","SO2",3.1,1.4,1.4,1,0.6,1.3,1.7,2.3,0.9,1.5,0.8,0.8,0.9,0.8,0.9,0.9,0.6,0.2,-0.2,-0.1,-0.4,-0.3,NA,NA
"2018/01/25","打","CO",0.3,0.29,0.28,0.27,0.26,0.26,0.29,0.35,0.36,0.35,0.33,0.32,0.31,0.3,0.29,0.3,0.33,0.32,0.28,0.28,0.25,0.22,0.23,0.22
"2018/01/25","打","NOx",6.2,5.2,4.4,4.1,3.9,4.5,6.6,10,13,13,12,12,11,11,12,14,15,15,13,11,9.3,6.9,8.1,7.8
"2018/01/25","打","O3",43,44,44,44,45,43,42,38,38,41,44,45,46,45,43,40,35,33,34,36,38,39,37,37
"2018/01/25","打","PM10",23,21,17,16,14,16,17,17,21,26,22,24,26,19,12,19,27,29,37,44,42,34,27,23
"2018/01/25","打","SO2",-0.4,3.2,3.3,3.3,3.2,3.2,3.3,3.5,3.8,NA,0.9,1,1.2,1.1,1.4,1.7,1.6,1.5,1.6,1.7,1.1,0.3,0.9,1
"2018/01/26","打","CO",0.23,0.2,0.18,0.18,0.18,0.18,0.19,0.22,0.19,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.21,0.24,0.26,0.28,0.24,0.24,0.23,0.21
"2018/01/26","打","NOx",7.9,8.5,4.5,4.2,3.6,3.7,3.9,6.1,7.6,7.5,7.2,6.8,7.8,7.2,7.2,7.3,9.4,12,12,11,9.6,8.8,8.4,8.2
"2018/01/26","打","O3",35,36,41,42,42,41,41,37,35,36,37,38,40,40,40,38,35,31,31,32,34,35,35,36
"2018/01/26","打","PM10",21,21,21,22,25,23,16,15,15,13,15,18,23,25,25,23,23,23,18,15,17,21,19,15
"2018/01/26","打","SO2",2.9,4.4,3.3,2.8,2.6,2.2,2.1,2.2,2.3,2.1,2.2,2.2,3,2.7,2.4,2.4,2.6,2.7,2.3,3,3,2.4,2.8,2.8
"2018/01/27","打","CO",0.19,0.19,0.19,0.18,0.18,0.17,0.19,0.22,0.25,0.26,0.26,0.26,0.25,0.24,0.19,0.21,0.25,0.33,0.53,0.46,0.48,0.51,0.59,0.47
"2018/01/27","打","NOx",7.4,6.7,5.9,5.5,5.4,6.1,6.6,8.2,9.7,11,11,10,9.3,8.7,8.4,10,12,17,26,25,27,24,35,31
"2018/01/27","打","O3",37,36,37,38,37,37,37,36,36,36,38,40,43,44,42,39,34,26,15,15,11,11,4.4,5.5
"2018/01/27","打","PM10",16,15,11,11,15,16,14,17,20,17,19,28,27,16,17,28,36,47,68,55,32,34,37,54
"2018/01/27","打","SO2",3.4,3,3.3,2.9,3.6,3.1,3.3,2.6,2.1,2.1,2.6,3.1,2.9,3.4,4.5,4.9,4.4,4.9,5,4.3,3.4,3.3,3.3,3.6
"2018/01/28","打","CO",0.41,0.23,0.17,0.18,0.19,0.21,0.22,0.23,0.23,0.23,0.24,0.25,0.25,0.24,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.21,0.19
"2018/01/28","打","NOx",30,12,4.7,3.1,4.5,5.8,7.4,7.2,7.3,7.4,6.9,8.4,10,11,11,11,12,12,11,9.9,9.7,8.5,6.7,5
"2018/01/28","打","O3",8,22,36,36,31,27,24,24,25,26,27,25,25,26,31,27,29,29,29,28,27,28,33,36
"2018/01/28","打","PM10",68,58,38,28,35,42,41,32,22,21,23,23,19,18,16,14,18,20,15,12,13,16,19,15
"2018/01/28","打","SO2",4.1,2.9,2.4,1.9,1.8,2.1,2.3,2,1.8,1,0.8,1.4,1.1,1.6,1.5,1.5,1,1.2,1.1,0.7,0.8,0.9,0.8,0.4
"2018/01/29","打","CO",0.19,0.21,0.22,0.21,0.23,0.24,0.28,0.32,0.32,0.33,0.34,0.34,0.36,0.41,0.47,0.52,0.52,0.56,0.55,0.55,0.52,0.48,0.46,0.46
"2018/01/29","打","NOx",4.3,2.3,2.6,2.1,2.1,2,3.6,5.1,6.3,7.9,6.9,7.5,7.5,7.6,8.3,8.7,9.5,9.8,6.9,6.4,5.2,4.2,3.7,3
"2018/01/29","打","O3",36,35,33,34,34,34,31,33,34,33,34,34,34,31,28,29,34,37,41,40,41,42,43,43
"2018/01/29","打","PM10",15,14,8,12,19,18,16,16,17,19,24,26,23,22,NA,18,21,27,39,37,27,27,32,34
"2018/01/29","打","SO2",0.7,1.4,2,2.4,2.5,2.2,2.4,2.5,2.8,3.2,2.9,2.9,3,2.8,2.5,2.9,3.2,3.3,3.3,3.1,2.8,3,2.9,2.8
"2018/01/30","打","CO",0.47,0.35,0.28,0.25,0.25,0.21,0.24,0.28,0.34,0.31,0.29,0.29,0.27,0.29,0.31,0.3,0.34,0.35,0.37,0.35,0.33,0.31,0.31,0.32
"2018/01/30","打","NOx",2.5,2,1.5,1.6,3.3,3.5,4.1,6.9,16,14,12,13,13,13,18,17,18,20,19,17,14,10,8.3,8
"2018/01/30","打","O3",44,44,43,42,39,42,40,36,28,34,35,34,33,31,28,28,26,23,24,25,30,34,36,36
"2018/01/30","打","PM10",36,37,30,30,38,29,26,30,20,19,25,23,22,22,18,19,19,19,24,27,27,21,17,14
