"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/22","大里","PM10",74,74,64,53,43,41,34,28,34,44,NA,45,62,64,71,60,59,55,51,43,39,37,33,29
"2018/01/22","大里","SO2",NA,0.8,0.9,0.9,0.9,1,1.2,1.4,2.1,2.3,2.2,NA,1.6,1.5,1.9,1.7,2,2.1,2.3,2,1.7,1.7,2,1.9
"2018/01/23","大里","CO",0.58,0.51,0.51,0.49,0.44,0.43,0.63,0.96,1.09,1.15,1.13,0.58,0.49,NA,0.35,0.34,0.42,0.53,0.67,0.59,0.57,0.68,0.77,0.6
"2018/01/23","大里","NOx",20,15,16,16,15,16,33,49,54,57,57,29,24,NA,16,17,22,23,34,31,30,33,40,31
"2018/01/23","大里","O3",22,27,23,21,23,22,6.4,3.5,6.1,13,26,42,NA,55,55,50,41,33,19,18,16,10,2.7,2.7
"2018/01/23","大里","PM10",31,32,27,27,30,35,39,46,61,69,76,64,NA,65,58,67,65,65,63,58,53,46,48,45
"2018/01/23","大里","SO2",2.2,1.5,1.9,2,2.1,2,2.3,4.8,3.8,4,3.2,2.4,2.3,NA,1.6,1.7,1.8,2.2,2.8,2.7,2.5,2.2,2.4,2.5
"2018/01/24","大里","CO",0.52,0.72,0.45,0.36,0.52,0.55,0.67,1,0.88,0.62,0.47,0.46,0.45,0.44,0.5,0.51,0.59,0.75,0.8,0.92,1.05,0.93,0.9,0.76
"2018/01/24","大里","NOx",27,28,26,21,23,27,36,61,45,31,23,19,15,14,18,21,27,33,35,41,56,53,55,45
"2018/01/24","大里","O3",4.9,3.7,4.9,10,1.1,1.2,1,1.7,9.4,18,33,49,58,67,68,61,46,31,21,11,2.4,1.1,0.6,1
"2018/01/24","大里","PM10",50,60,59,53,36,33,39,47,53,45,39,40,47,49,59,64,76,70,73,65,66,71,71,61
"2018/01/24","大里","SO2",2.3,2,2,2.6,1.4,2.1,3,3.9,2.7,2.1,2.2,1.6,1.5,1.4,1.7,1.6,1.7,1.9,2.1,2.1,2.6,3,3,2.7
"2018/01/25","大里","CO",0.64,0.63,0.7,0.62,0.64,0.59,0.61,0.69,0.84,NA,NA,NA,0.5,0.4,0.39,0.41,0.44,0.53,0.48,0.47,0.48,0.47,0.52,0.56
"2018/01/25","大里","NOx",36,34,31,32,32,30,37,36,41,NA,NA,NA,24,20,21,22,23,26,23,23,26,25,29,31
"2018/01/25","大里","O3",1.3,1.4,-0.3,1.8,-0.9,1.1,2.3,2.4,5.3,NA,NA,NA,51,54,51,44,36,27,25,24,16,9.4,3.2,2.3
"2018/01/25","大里","PM10",44,29,28,35,44,39,38,34,4,NA,NA,46,37,42,51,62,58,49,41,39,45,46,43,38
"2018/01/25","大里","SO2",2.6,2.2,2.2,1.9,1.9,3.2,5.1,3,3,NA,NA,NA,2,2.1,1.9,2,1.9,1.9,1.8,1.9,2.1,2,2.1,2
"2018/01/26","大里","CO",0.53,0.35,0.34,0.32,0.27,0.25,0.28,0.41,0.44,0.34,0.34,0.37,0.35,0.29,0.27,0.31,0.31,0.41,0.46,0.41,0.41,0.41,0.38,0.37
"2018/01/26","大里","NOx",31,17,15,13,9.8,8.6,12,19,22,20,18,22,20,17,15,17,19,23,23,21,22,21,19,19
"2018/01/26","大里","O3",2.1,2.6,3.1,3.5,4.1,3.9,2.5,3,NA,25,28,27,31,35,38,33,28,20,18,18,15,14,15,14
"2018/01/26","大里","PM10",40,47,48,38,26,14,14,19,4,31,22,24,28,32,35,34,32,33,26,28,16,15,8,8
"2018/01/26","大里","SO2",2.1,2.1,2,1.9,1.8,1.5,1.6,1.7,1.8,1.6,1.4,1.9,1.9,1.8,1.7,1.8,1.9,1.8,1.6,1.7,1.8,1.7,1.7,1.7
"2018/01/27","大里","CO",0.35,0.24,0.24,0.21,0.2,0.22,0.25,0.35,0.47,0.55,0.5,0.49,0.41,0.43,0.46,0.46,0.44,0.48,0.63,0.61,0.64,0.57,0.61,0.48
"2018/01/27","大里","NOx",17,14,13,11,11,12,14,18,26,35,34,32,24,28,24,26,26,25,32,31,32,32,34,23
"2018/01/27","大里","O3",16,19,19,21,21,20,18,14,12,13,20,24,28,34,41,37,32,27,18,14,11,8.5,5.5,16
"2018/01/27","大里","PM10",10,9,7,4,6,8,9,8,12,14,25,29,38,47,63,66,66,57,58,55,57,53,50,45
"2018/01/27","大里","SO2",1.8,2,2.2,1.7,1.8,1.8,1.8,1.7,2.1,2.9,3.2,3,2.5,2.9,2.3,2.4,2.1,2.1,2.1,2.1,2.2,1.8,1.8,1.9
"2018/01/28","大里","CO",0.43,0.58,0.53,0.55,0.43,0.26,0.25,0.47,0.39,0.4,0.38,0.38,0.43,0.33,0.35,0.35,0.35,0.37,0.45,0.44,0.39,0.4,0.37,0.29
"2018/01/28","大里","NOx",19,30,27,25,21,9.2,10,19,17,17,19,19,21,16,18,20,20,21,26,26,23,24,22,15
"2018/01/28","大里","O3",14,0.7,1.1,1,3.9,22,20,11,15,17,16,19,25,27,22,17,15,13,7.6,7,7.7,6.2,7.8,15
"2018/01/28","大里","PM10",41,38,38,39,48,46,41,30,23,26,26,30,31,33,30,34,27,20,13,14,11,12,10,13
