"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/20","获","PM10",89,86,91,99,101,101,108,122,138,142,154,141,134,111,100,96,97,101,95,96,102,127,141,145
"2018/01/20","获","SO2",2.5,3.2,3.8,3.4,2.8,2.4,2.2,2.7,3.6,4.9,4.5,5.1,4.7,3.3,1.8,1.8,2.2,2.1,1.8,2.2,4.5,3.9,5.2,6.3
"2018/01/21","获","CO",0.71,0.64,0.64,0.7,0.69,0.66,0.68,0.77,0.89,0.92,0.89,1.03,1.18,1.01,0.88,0.84,0.94,0.89,0.92,0.91,0.77,0.7,0.63,0.53
"2018/01/21","获","NOx",33,30,31,27,24,23,25,27,39,49,45,32,36,29,27,23,26,26,27,33,29,31,32,29
"2018/01/21","获","O3",9.4,6.8,3.5,4,4,3.5,3.1,5.3,6.6,8.4,19,40,49,50,55,61,51,41,37,28,24,20,14,13
"2018/01/21","获","PM10",134,133,141,157,169,171,171,154,156,150,155,155,165,176,172,153,126,110,104,109,109,112,114,110
"2018/01/21","获","SO2",5.8,5.6,6.6,5.5,3.1,3,3.6,4,4.1,4,3.9,4.7,6.2,3.8,4.6,3.5,3.5,3.1,3.3,4.6,4.8,4.8,5.6,5.9
"2018/01/22","获","CO",0.47,0.47,0.45,0.48,0.47,0.5,0.49,0.67,0.94,0.68,0.4,0.43,0.57,0.62,0.61,NA,0.84,0.94,0.78,0.76,0.8,0.84,0.84,0.82
"2018/01/22","获","NOx",25,24,20,16,15,20,15,27,41,40,21,20,26,25,24,NA,38,41,36,35,32,30,29,29
"2018/01/22","获","O3",12,9.8,10,10,11,7.8,16,13,8.6,12,23,26,36,45,44,NA,27,21,21,19,20,23,23,19
"2018/01/22","获","PM10",101,86,83,84,101,101,97,76,73,74,67,55,45,53,65,81,94,106,108,109,106,107,100,98
"2018/01/22","获","SO2",6,5.7,6.1,5,4.2,6,3.9,4.4,6.7,7.4,4.4,4,4.2,4.1,4.5,NA,5.1,4.7,4.5,7,4,4.1,5.9,6.5
"2018/01/23","获","CO",0.87,0.82,0.8,0.78,0.75,0.73,0.75,1.05,1.22,1.1,1.05,0.96,0.84,0.57,0.61,0.59,0.7,0.77,NA,NA,NA,NA,0.63,0.58
"2018/01/23","获","NOx",27,32,27,25,31,35,41,59,75,66,51,35,28,16,17,17,23,29,NA,NA,NA,NA,41,40
"2018/01/23","获","O3",14,8.3,10,8.5,4.3,2.1,1.8,2.9,4.8,14,31,48,58,55,55,50,43,38,NA,NA,NA,NA,7.3,5.1
"2018/01/23","获","PM10",98,84,75,58,61,55,58,63,70,85,99,116,111,86,67,54,55,58,NA,NA,NA,107,112,114
"2018/01/23","获","SO2",7.3,8.8,5.6,5,6.2,6.5,8.1,9.8,13,9.5,7.3,5.3,4.6,3.6,3.6,2.6,2.6,3.2,NA,NA,NA,NA,4.9,5.1
"2018/01/24","获","CO",0.56,0.47,0.46,0.42,0.42,0.46,0.56,0.85,1.38,1.23,1.17,0.85,0.72,0.58,0.63,0.66,0.72,0.95,1.51,0.91,0.81,0.69,0.72,0.63
"2018/01/24","获","NOx",42,32,31,29,32,35,41,46,70,58,69,45,39,27,22,21,21,35,51,40,38,34,39,36
"2018/01/24","获","O3",2.1,4.5,4.4,3.6,3.1,1.7,1.9,4.1,6.2,16,24,35,51,63,69,69,59,41,22,25,20,18,9.8,8.7
"2018/01/24","获","PM10",119,114,104,94,92,82,86,86,110,119,129,128,135,120,112,107,120,132,134,137,134,132,138,128
"2018/01/24","获","SO2",6.7,7.3,6.9,6.8,6.9,6.7,6.3,5.8,5.2,4.9,5.8,4.5,5,4.4,4.1,3.9,3.9,3.5,3.7,4.7,5.1,5.8,7.8,5.7
"2018/01/25","获","CO",0.59,0.56,0.56,0.55,0.55,0.58,0.65,0.87,1.02,0.89,0.81,0.76,0.67,0.61,0.62,0.64,0.66,0.91,0.73,0.6,0.7,0.6,NA,NA
