"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/31","窾地","NOx",14,8.9,10,9.6,13,12,20,34,43,58,47,33,37,45,48,50,41,39,41,42,26,34,33,21
"2018/01/31","窾地","O3",34,36,34,33,26,33,26,16,12,8,15,22,17,13,9.9,7.7,9.5,12,11,11,20,12,15,24
"2018/01/31","窾地","PM10",14,20,21,17,12,13,19,18,16,14,12,11,11,21,26,22,16,13,18,17,11,6,9,9
"2018/01/31","窾地","SO2",1.5,1.4,2.1,2.9,1.9,1.7,3.2,1.9,1.7,1.9,2.3,2.1,3.6,3.5,2.8,2.7,2.6,2.4,2.7,2.8,2.5,2.4,2.3,2.1
"2018/02/01","窾地","CO",0.48,0.57,0.6,0.56,0.55,0.62,0.73,0.93,1.3,1.17,1.2,1.21,1.27,0.84,0.76,0.79,0.8,0.88,0.89,0.81,0.61,0.54,0.53,0.44
"2018/02/01","窾地","NOx",9.1,11,11,9.1,11,11,18,31,50,42,53,57,57,50,49,52,55,56,48,45,33,27,28,21
"2018/02/01","窾地","O3",36,32,29,32,31,28,21,12,3.2,6.9,4.5,3.7,3.3,5.9,7.1,5.1,5.6,4.5,7,9.9,19,23,23,29
"2018/02/01","窾地","PM10",13,9,21,20,25,16,16,22,37,50,54,49,52,50,55,60,61,66,58,60,50,38,20,14
"2018/02/01","窾地","SO2",1.5,1.1,1,0.8,0.6,0.9,1,1.3,2,2.3,2.8,3,3.1,3.1,3.1,2.6,2.5,2.9,4.4,3.2,2,1.5,1.4,1
"2018/02/02","窾地","CO",0.46,0.36,0.34,0.29,0.3,0.33,0.41,0.55,0.77,0.65,0.51,0.51,0.52,0.61,0.51,0.46,0.53,0.54,0.47,0.54,0.59,0.59,0.59,0.38
