"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/23","竹山","SO2",5,3.5,2.5,2.1,2.2,2.6,2.2,2.3,3.1,3.5,2.3,2.5,3,3.5,3.3,NA,2.7,2.2,2.1,2,1.8,1.5,1.5,1.2
"2018/01/24","竹山","CO",0.3,0.29,0.27,0.29,0.32,0.3,0.4,0.68,0.44,0.27,0.31,0.32,0.34,0.33,0.35,0.39,0.39,0.41,0.45,0.54,0.62,0.47,0.37,0.48
"2018/01/24","竹山","NOx",15,12,9.7,12,18,13,20,26,21,14,13,12,12,9.7,9.5,10,12,17,19,21,26,17,11,24
"2018/01/24","竹山","O3",6.9,7.4,9.6,5.9,2.8,2.7,2.4,3.8,11,21,32,45,66,83,95,96,74,51,41,28,12,21,22,8.2
"2018/01/24","竹山","PM10",54,53,45,42,45,42,40,49,55,53,53,51,54,64,71,80,97,105,105,108,97,83,73,77
"2018/01/24","竹山","SO2",2.1,1.8,1.6,1.7,1.9,1.6,1.6,1.6,2,1.6,1.9,2.5,2.9,2.7,2.8,2.7,2.3,2.4,2,2.2,1.5,1.4,1,1.6
"2018/01/25","竹山","CO",0.43,0.43,0.43,0.42,0.47,0.48,0.5,0.47,0.53,0.48,0.46,0.44,0.45,0.4,0.35,0.3,0.29,0.31,0.34,0.37,0.4,0.41,0.42,0.4
"2018/01/25","竹山","NOx",21,19,20,18,26,22,23,22,30,25,24,18,18,15,16,14,14,17,19,24,26,22,25,25
"2018/01/25","竹山","O3",6.6,6.1,5.1,3.7,1.5,1.6,1.9,4.8,10,22,33,51,69,81,73,63,51,37,29,21,15,15,10,7.3
"2018/01/25","竹山","PM10",77,70,70,59,57,59,56,52,54,55,60,65,65,64,69,78,71,67,68,62,54,49,47,50
"2018/01/25","竹山","SO2",1.5,2.2,2.2,1.8,2.1,2,2.1,2.5,2.9,2.6,2.8,3.2,3.8,3.6,3.4,2.9,2.9,2.3,2.8,2.2,1.9,1.7,1.8,1.7
"2018/01/26","竹山","CO",0.4,0.33,0.33,0.3,0.27,0.3,0.35,0.34,0.28,0.3,0.31,0.27,0.25,0.23,0.21,0.22,0.24,0.25,0.28,0.3,0.34,0.32,0.28,0.3
"2018/01/26","竹山","NOx",23,18,20,18,15,16,19,18,17,19,24,14,12,12,13,14,15,18,20,21,23,20,17,18
"2018/01/26","竹山","O3",6.5,5,3,8.5,10,8,4.2,7.7,15,21,31,43,55,54,47,44,36,27,21,17,13,14,15,12
"2018/01/26","竹山","PM10",52,44,40,45,47,45,41,38,36,32,34,36,39,46,60,84,93,85,61,36,30,25,20,20
"2018/01/26","竹山","SO2",2.4,2.1,1.6,1.7,1.5,1.7,2.6,1.9,1.4,1.4,1.3,1.5,1.5,1.3,1.5,1.6,1.5,1.3,1,1.1,0.8,0.6,0.9,0.5
"2018/01/27","竹山","CO",0.29,0.3,0.28,0.26,0.24,0.23,0.24,0.27,0.29,0.36,0.35,0.35,0.38,0.36,0.4,0.31,0.35,0.41,0.35,0.36,0.42,0.45,0.37,0.38
"2018/01/27","竹山","NOx",17,16,16,14,13,13,15,15,17,19,21,24,23,22,26,19,19,18,17,16,20,20,16,19
"2018/01/27","竹山","O3",12,13,14,13,14,14,13,13,14,14,15,15,20,23,27,33,36,36,32,28,19,11,10,11
"2018/01/27","竹山","PM10",23,22,21,19,15,15,15,16,20,28,36,50,60,64,70,69,73,84,83,73,73,74,70,65
"2018/01/27","竹山","SO2",1.5,1.8,1.8,1.7,1.5,1.8,1.9,1.9,2.5,2.2,3.3,4.3,3.9,3,3.6,3.1,2.7,2.6,2.4,2.7,2.5,2.1,2.2,2.5
"2018/01/28","竹山","CO",0.35,0.41,0.43,0.41,0.42,0.31,0.38,0.44,0.4,0.39,0.38,0.4,0.37,0.37,0.35,0.35,0.35,0.35,0.36,0.41,0.4,0.42,0.39,0.34
"2018/01/28","竹山","NOx",20,22,23,19,19,13,15,18,17,16,14,14,11,12,13,15,18,21,21,25,24,26,24,20
"2018/01/28","竹山","O3",11,6.3,3.9,2.6,2.2,11,8.5,6.1,11,16,22,24,38,39,38,32,24,13,9.7,7,5.4,3.4,3.1,5.9
"2018/01/28","竹山","PM10",57,55,58,57,58,49,48,46,44,54,56,55,50,53,56,52,46,34,26,23,22,21,20,20
"2018/01/28","竹山","SO2",2.2,1.7,2.1,1.5,1.3,0.8,1.5,2.2,2.4,2.4,2.3,2.1,2.2,2.1,2.2,2.2,1.9,1.7,1.7,2.1,1.8,1.8,1.4,1.8
"2018/01/29","竹山","CO",0.3,0.26,0.22,0.21,0.19,0.19,0.21,0.24,0.25,0.32,0.35,0.32,0.3,0.35,NA,0.38,0.41,0.43,0.47,0.51,0.55,0.53,0.53,0.54
"2018/01/29","竹山","NOx",17,11,8.7,8.2,6.3,6.8,7.9,11,13,17,19,18,15,19,NA,18,19,19,21,21,20,18,15,15
"2018/01/29","竹山","O3",11,13,19,19,25,23,21,16,16,17,16,16,19,22,20,21,18,15,12,11,11,11,14,14
"2018/01/29","竹山","PM10",21,24,23,21,21,16,14,19,24,26,23,24,32,34,NA,24,30,34,29,26,32,35,34,28
"2018/01/29","竹山","SO2",1.5,1.7,1.9,1.7,1.8,1.6,1.7,1.6,1.7,2,1.8,1.5,1.9,2.2,NA,1.8,1.6,1.5,1.7,1.9,1.4,1.8,1.3,1.5
"2018/01/30","竹山","CO",0.55,0.5,0.46,0.46,0.46,0.42,0.4,0.47,0.49,0.42,0.37,0.38,0.35,0.35,NA,0.39,0.43,0.47,0.49,0.57,0.54,0.58,0.59,0.56
"2018/01/30","竹山","NOx",15,13,11,10,11,12,11,15,15,15,20,22,18,17,NA,22,27,28,28,35,43,46,46,45
"2018/01/30","竹山","O3",13,16,20,18,16,17,20,17,14,14,18,19,22,22,21,15,12,8.2,10,4.4,1.4,1.6,1.2,1.2
"2018/01/30","竹山","PM10",23,27,26,20,22,26,30,28,23,24,27,36,42,42,NA,64,63,66,65,60,56,42,35,39
"2018/01/30","竹山","SO2",1.2,2.7,2.4,2.4,2.3,2.7,2.5,2.7,2.7,2.7,2.9,3.2,2.6,2.6,2.1,0.9,1.3,1,0.9,1.1,1.7,1.8,1.5,1.5
"2018/01/31","竹山","CO",0.56,0.65,0.57,0.58,0.56,0.57,0.67,0.69,0.61,0.6,0.53,0.52,0.48,0.44,0.41,0.43,0.46,0.42,0.39,0.37,0.34,0.43,0.47,0.48
"2018/01/31","竹山","NOx",43,41,37,34,30,28,30,30,24,30,31,29,22,17,15,18,25,25,21,15,12,12,13,14
"2018/01/31","竹山","O3",1.6,1.3,1.4,1.2,1.4,1.5,1.3,2.4,5.9,8.2,12,19,34,46,53,48,29,25,21,26,29,29,26,24
"2018/01/31","竹山","PM10",41,40,38,40,37,39,41,40,46,46,51,61,61,59,60,62,56,45,47,41,21,12,17,20
"2018/01/31","竹山","SO2",0.8,2.8,2.6,2.3,2,1.9,2,2.3,2.3,2.4,3.6,3.4,2.6,2.9,2.8,3.1,2.5,2.1,1.9,1.4,1.2,1.2,1.2,1.3
"2018/02/01","竹山","CO",0.47,0.42,0.39,0.38,0.39,0.51,0.5,0.53,0.53,0.54,0.55,0.58,0.61,0.64,0.69,0.72,0.77,0.79,0.82,0.71,0.67,0.66,0.68,0.64
"2018/02/01","竹山","NOx",13,9.6,8.8,8.6,7.7,9.2,9.9,13,13,14,15,17,18,18,22,23,22,26,29,29,28,26,25,23
"2018/02/01","竹山","O3",22,24,23,25,27,24,24,24,23,22,20,22,24,27,29,30,27,21,13,7.4,6.7,6.1,4.2,4.3
